"party","levels_of_party","race","gender","education","state_of_residence","president_voted_for","immigration_importance","environment_importance","gay_rights_importance","health_care_importance","climate_change_importance","abortion_importance","racial_equality_importance","gender_equality_importance","legality_abortion","gay_marriage","police_racial_bias","global_warming","religion_importance","age_group","ideology"
2,7,1,1,5,42,2,2,2,3,2,4,2,2,3,2,2,2,4,1,"4","1"
2,7,1,1,3,12,2,1,1,1,1,3,3,1,1,2,1,1,3,1,"5","2"
2,6,1,1,2,6,2,1,1,2,1,3,1,2,2,2,1,1,4,3,"5","2"
3,4,1,1,6,26,2,1,2,4,1,3,2,4,3,2,2,1,5,3,"4","3"
3,3,1,2,4,8,1,2,1,1,1,1,2,1,1,1,1,2,1,3,"4","1"
1,1,1,1,3,37,1,2,1,2,1,2,2,1,1,1,1,2,1,4,"4","1"
1,1,1,2,6,25,1,2,1,1,1,1,1,1,1,1,1,2,1,3,"2","1"
2,6,1,1,1,47,2,3,2,4,1,3,4,1,3,3,2,1,3,1,"5","2"
1,1,2,2,2,37,1,1,1,1,1,1,1,1,1,2,8,2,1,1,"4","2"
2,6,3,1,5,51,2,2,3,3,2,3,2,3,3,2,1,1,2,2,"4","2"
3,3,1,1,6,17,1,2,2,2,2,3,3,2,2,1,1,1,2,3,"2","3"
2,6,1,1,4,42,2,1,4,3,2,4,2,4,4,2,2,1,4,2,"5","3"
1,2,1,1,2,48,1,2,NA,2,NA,NA,2,2,3,2,1,2,1,1,"5","1"
2,7,1,1,2,42,2,1,2,4,1,4,4,2,2,2,2,1,4,2,"5","2"
3,3,1,1,4,13,2,2,1,4,2,2,3,3,3,2,2,1,2,3,"4","3"
3,5,1,1,5,36,3,2,3,3,2,3,3,3,3,1,1,1,1,3,"2","3"
3,5,1,1,4,16,5,2,2,3,2,3,2,2,2,2,1,8,2,1,"3","2"
1,2,1,1,5,48,1,2,2,3,2,2,3,2,3,2,1,8,1,3,"1","3"
3,5,1,1,3,42,2,2,3,4,1,3,2,3,3,3,2,1,3,1,"4","2"
1,2,2,2,3,42,1,2,1,3,1,1,3,1,1,2,2,2,1,1,"4","3"
2,6,1,1,5,48,2,1,4,3,1,4,2,4,3,3,8,1,4,1,"2","2"
2,7,1,2,5,26,2,1,3,3,2,3,2,2,3,3,2,8,2,1,"3","3"
3,3,2,2,4,51,1,2,1,2,1,1,2,1,2,2,2,2,1,1,"5","3"
1,1,1,1,3,32,1,3,3,1,2,3,4,1,1,1,1,2,1,4,"3","1"
3,4,1,1,6,12,2,1,2,4,2,2,4,3,3,1,8,2,2,2,"4","3"
3,4,1,2,3,48,2,1,2,1,1,2,2,2,2,1,1,1,2,4,"4","3"
3,4,1,1,2,25,2,2,4,4,3,4,4,4,4,1,2,2,2,4,"5","3"
3,5,1,2,2,48,2,1,3,4,1,4,2,2,3,2,2,1,3,3,"5","2"
1,2,1,2,6,32,1,1,2,1,1,1,1,2,2,2,1,2,1,3,"4","3"
2,6,1,1,5,6,2,1,2,3,2,4,3,3,4,8,2,1,4,2,"5","2"
1,1,2,2,5,48,1,1,1,2,1,1,1,1,NA,2,1,2,1,3,"4","1"
3,3,6,2,5,36,1,4,1,4,3,2,4,1,1,2,2,2,2,2,"2","3"
1,1,3,2,6,4,1,1,1,4,1,1,2,1,1,2,1,2,1,1,"4","3"
2,7,1,2,2,6,2,1,2,3,1,3,1,2,3,3,2,1,2,1,"3","2"
2,6,3,1,2,6,1,1,2,2,1,2,2,2,1,2,8,8,2,2,"4","3"
1,2,4,2,6,12,1,2,1,3,1,1,1,1,1,1,1,2,1,4,"4","3"
1,1,1,2,5,55,1,3,1,1,1,1,2,1,1,1,1,2,1,4,"4","1"
2,7,3,2,4,51,2,1,4,4,1,4,4,2,4,2,2,1,3,3,"4","2"
3,5,6,1,3,6,2,1,2,4,1,3,3,2,1,2,1,1,2,1,"4","3"
1,1,7,1,6,6,1,1,1,1,1,1,1,1,1,1,1,2,1,3,"3","1"
4,5,7,1,5,34,2,1,3,4,2,4,4,1,4,2,2,1,4,2,"4","2"
3,4,1,2,2,32,2,1,1,1,1,2,2,3,2,2,1,1,5,4,"4","1"
3,5,1,1,6,42,1,NA,1,3,1,1,4,2,3,2,1,2,1,2,"4","3"
1,1,1,1,2,37,1,1,1,1,1,1,1,1,1,1,1,2,1,4,"5","1"
2,7,1,1,5,17,2,1,2,3,1,4,2,3,3,2,2,1,2,2,"5","2"
3,3,1,1,2,45,1,1,1,1,1,1,1,1,1,1,1,2,1,2,"5","3"
3,3,1,2,3,4,1,2,1,2,1,2,1,2,2,3,1,2,1,3,"4","1"
1,1,1,1,2,39,1,2,1,2,1,1,1,1,2,1,1,2,1,3,"5","1"
1,1,1,2,6,39,1,2,1,1,1,1,3,1,1,1,1,2,1,2,"4","3"
1,1,1,2,2,17,1,2,1,2,1,1,1,2,2,1,1,2,1,4,"5","1"
2,7,1,1,3,21,2,1,3,4,3,4,2,2,3,2,2,1,2,2,"3","2"
2,6,1,1,5,13,2,1,1,1,1,2,1,2,2,2,2,1,1,1,"4","3"
1,2,1,1,4,42,2,1,2,2,1,4,2,2,2,2,1,1,2,1,"5","2"
3,5,3,2,3,35,NA,1,1,4,2,1,4,3,3,1,8,1,1,1,"4","3"
1,2,1,1,2,42,1,3,1,1,1,1,4,1,1,1,1,2,1,4,"4","1"
3,5,1,1,5,6,3,2,2,3,1,2,2,3,3,2,8,2,5,1,"2","3"
2,7,1,1,3,34,2,3,3,NA,2,3,3,2,3,2,2,1,3,1,"3","2"
3,5,7,2,2,53,2,2,3,2,2,2,3,2,2,3,2,2,3,1,"2","3"
2,7,1,1,3,4,2,1,3,4,1,4,4,3,4,2,2,1,2,2,"4","2"
3,4,1,2,3,33,1,4,1,2,1,1,2,1,1,1,1,2,1,4,"4","1"
1,2,1,1,2,48,7,1,2,4,1,2,4,2,2,3,1,1,2,3,"4","1"
3,4,1,1,6,4,2,1,3,1,1,3,1,1,2,2,2,1,2,1,"5","2"
1,2,1,1,2,17,1,2,2,2,2,3,1,1,2,8,2,2,2,1,"5","3"
2,6,3,2,6,6,2,1,3,1,1,3,1,1,1,2,1,1,4,1,"5","2"
1,1,1,2,5,34,1,2,1,1,1,1,2,1,1,1,1,2,1,4,"4","1"
3,4,1,2,2,53,3,1,2,2,1,2,2,1,1,1,8,1,1,1,"5","3"
2,6,1,1,5,6,6,2,2,2,1,2,3,2,3,2,1,1,2,2,"3","3"
3,4,1,2,5,39,4,1,1,2,1,1,1,2,2,3,1,2,1,1,"4","3"
2,7,1,1,2,24,2,2,3,4,2,4,2,3,4,3,2,1,3,1,"5","2"
2,6,1,1,4,28,2,2,2,2,2,2,1,2,2,2,2,8,2,1,"4","2"
1,1,1,1,3,4,6,1,1,1,1,1,1,1,1,1,1,2,1,2,"5","1"
1,1,4,1,5,6,1,NA,2,2,2,NA,3,2,2,2,1,2,2,4,"5","1"
3,3,1,2,3,53,1,2,1,2,1,1,2,2,2,1,1,2,1,3,"5","3"
1,1,1,2,5,4,1,1,1,1,1,1,1,1,1,1,1,2,1,2,"5","1"
2,6,1,1,3,48,NA,1,2,3,1,3,2,2,2,8,2,1,5,2,"5","2"
2,6,1,2,2,16,2,1,2,2,1,3,2,2,2,2,8,1,3,2,"5","3"
3,4,1,1,4,53,4,3,1,2,1,1,4,2,2,1,1,2,1,4,"4","1"
3,4,1,2,4,6,2,1,3,1,2,2,3,3,1,2,1,1,2,2,"5","3"
1,1,1,1,6,53,1,1,1,1,1,1,1,1,1,1,1,2,1,4,"4","1"
2,7,1,2,3,40,2,1,2,4,1,2,2,4,3,2,2,1,1,1,"4","2"
2,7,1,1,5,26,2,1,2,3,1,2,3,3,3,2,8,1,3,2,"4","2"
3,3,2,1,5,48,1,3,3,4,1,4,3,1,4,1,2,2,3,1,"3","3"
1,1,1,2,6,36,1,2,1,1,1,1,3,1,1,1,1,1,1,1,"5","3"
1,1,1,2,6,36,1,1,1,1,1,1,1,1,1,1,1,2,1,3,"4","1"
1,1,1,1,3,6,1,1,1,1,1,1,3,1,1,1,1,2,1,4,"5","1"
3,3,1,2,5,6,1,4,1,2,1,1,1,2,2,1,1,2,1,4,"3","3"
1,1,1,2,6,36,1,3,1,1,1,1,1,1,1,1,1,2,1,3,"4","1"
3,3,7,2,5,37,1,2,1,1,1,1,1,1,1,1,1,2,1,3,"4","1"
1,2,1,1,2,26,1,4,1,2,1,1,2,2,2,1,8,1,1,4,"5","1"
2,7,1,1,4,41,2,2,3,4,1,4,4,4,4,2,2,1,2,1,"4","2"
2,6,1,2,5,12,2,1,3,3,1,3,1,1,1,3,2,1,3,1,"5","2"
1,1,1,1,5,40,1,2,1,1,2,1,1,2,1,1,1,8,1,3,"4","1"
1,1,2,2,4,13,1,2,1,4,2,1,2,1,1,1,2,2,2,1,"3","1"
1,1,1,2,3,48,1,2,2,2,1,2,2,2,2,1,1,2,1,1,"4","1"
1,1,1,1,3,41,1,2,1,3,1,1,2,3,2,2,8,2,1,1,"5","3"
1,1,2,2,5,20,1,2,1,4,1,1,2,1,1,1,2,2,1,2,"3","1"
4,3,1,2,5,53,6,4,1,2,2,1,1,1,1,1,1,2,1,4,"2","1"
3,5,1,1,2,17,2,1,2,2,2,2,2,1,2,2,1,1,5,3,"3","3"
1,1,1,2,5,34,1,3,1,2,1,1,4,2,2,1,1,1,1,2,"4","3"
3,3,1,1,5,25,1,2,1,1,1,1,1,1,1,1,1,2,1,1,"4","1"
2,7,1,2,3,6,2,1,1,4,1,1,1,2,4,2,2,1,1,1,"5","2"
2,6,1,2,3,24,2,1,1,2,1,2,1,2,2,2,8,1,1,2,"4","2"
1,1,1,2,2,41,1,3,1,3,1,1,2,1,3,2,1,2,1,4,"5","1"
2,6,1,2,3,35,2,1,4,4,2,4,3,4,4,2,8,1,4,2,"4","2"
3,3,1,1,3,23,1,2,1,2,1,1,2,2,2,1,1,2,1,4,"5","3"
2,7,1,1,5,29,2,1,2,3,2,4,4,2,4,1,2,1,5,3,"5","2"
3,3,1,1,6,26,1,2,1,1,1,1,1,1,1,1,1,2,1,4,"2","3"
1,1,1,1,4,13,1,1,1,1,1,1,1,1,1,1,1,2,1,4,"5","3"
1,1,1,2,3,17,1,1,1,1,1,1,1,1,1,1,1,2,1,3,"5","1"
4,3,1,2,6,26,1,2,1,1,1,1,3,1,1,1,1,2,1,4,"4","1"
1,2,1,2,2,6,1,1,1,2,1,1,2,1,2,2,1,2,1,2,"5","3"
1,1,1,1,2,4,4,1,1,2,1,1,1,1,1,1,1,2,1,2,"5","1"
1,1,1,2,5,6,1,2,1,1,1,1,1,1,1,1,1,2,1,1,"5","1"
3,4,1,1,3,34,2,1,2,4,2,2,1,4,2,1,1,1,1,4,"4","3"
3,3,1,2,6,6,1,3,1,1,1,1,1,1,1,1,1,2,1,3,"3","3"
1,2,1,2,6,36,1,1,1,2,1,1,1,1,3,2,1,2,1,2,"4","3"
3,3,1,1,5,6,1,1,1,2,1,1,1,2,2,1,1,2,1,3,"4","3"
1,2,1,2,5,17,1,1,1,1,1,1,1,1,1,1,1,2,1,4,"5","1"
1,2,6,2,4,48,1,2,2,4,1,1,2,2,3,2,2,1,1,1,"5","2"
3,4,1,2,5,26,2,4,2,2,1,4,4,4,4,8,1,1,5,4,"2","2"
1,1,1,1,2,29,1,3,2,2,1,2,2,2,2,1,1,2,2,3,"4","1"
1,1,1,1,5,29,1,1,1,1,1,1,1,1,1,1,1,2,1,2,"5","1"
1,2,1,1,6,42,1,2,1,3,2,1,3,3,3,1,1,1,1,2,"4","3"
2,7,1,1,2,37,2,3,3,4,2,4,1,3,3,3,2,1,3,1,"4","2"
3,4,1,1,5,53,1,1,1,1,1,1,2,1,1,1,1,1,1,2,"5","3"
1,1,1,2,2,12,1,2,1,2,1,2,2,2,2,1,1,2,1,2,"4","3"
1,1,1,1,3,6,1,2,1,2,2,1,4,1,1,1,1,2,1,3,"3","1"
1,2,1,2,6,26,1,1,1,2,1,1,1,1,2,1,1,2,1,4,"5","1"
1,2,6,1,6,8,1,3,1,2,2,1,2,2,1,8,1,2,1,1,"2","1"
1,1,1,2,3,36,1,1,1,1,1,1,1,1,1,1,1,2,1,2,"5","1"
3,5,1,1,2,26,2,1,4,3,2,4,4,2,4,2,2,1,2,3,"4","3"
1,1,1,1,2,37,1,2,1,1,1,1,1,1,1,1,1,2,1,4,"4","1"
3,3,1,2,3,1,1,1,1,1,2,1,1,1,1,1,1,2,1,4,"3","1"
2,6,1,1,6,32,2,2,3,3,2,4,1,4,4,2,2,1,3,1,"5","2"
3,4,1,2,4,37,2,1,3,4,1,3,4,3,3,8,1,1,5,4,"5","3"
1,1,3,2,5,12,1,2,2,1,1,1,1,1,1,1,1,2,1,4,"4","1"
3,4,1,1,6,39,3,NA,1,1,NA,1,4,1,1,2,1,2,2,1,"3","3"
3,4,2,1,5,36,4,1,1,2,1,1,2,1,1,1,1,2,1,2,"4","1"
1,2,1,2,5,6,1,NA,1,1,NA,1,1,NA,1,1,1,2,1,4,"3","1"
3,4,1,1,5,41,2,1,3,4,2,4,4,2,4,2,2,1,3,2,"5","2"
3,4,1,1,2,5,2,2,1,4,1,1,2,2,2,2,2,1,2,2,"5","2"
3,5,3,1,6,32,2,1,3,4,1,4,2,4,4,2,2,1,4,2,"4","2"
1,1,1,2,5,36,1,1,1,1,1,1,1,1,1,1,1,2,1,1,"5","1"
1,1,1,1,5,6,1,2,1,1,1,1,2,2,2,2,1,2,1,2,"3","3"
3,4,1,1,5,36,2,1,2,1,1,2,3,3,3,2,1,1,1,3,"4","3"
3,5,1,1,5,12,2,2,2,4,1,4,1,4,3,3,2,1,2,1,"4","2"
3,3,1,2,5,47,1,3,1,2,1,1,2,1,1,2,1,8,1,4,"3","1"
3,4,1,1,6,13,1,2,1,3,1,1,3,2,2,2,1,1,1,1,"4","3"
2,6,1,1,3,4,2,1,2,3,2,3,2,3,4,2,8,8,4,2,"5","2"
3,4,1,1,4,6,2,1,3,2,1,3,2,2,3,2,1,8,2,2,"4","3"
3,5,1,2,6,24,2,2,4,4,1,4,4,4,4,2,8,1,3,3,"4","3"
1,1,1,1,3,34,NA,1,1,3,1,1,3,3,3,1,1,2,1,4,"2","1"
2,7,1,1,6,35,2,1,4,2,2,4,2,3,1,3,2,1,4,2,"4","2"
3,4,1,1,1,37,NA,2,2,3,2,2,3,2,2,8,2,8,1,3,"4","3"
3,4,1,2,6,48,3,2,1,2,2,1,1,2,2,1,1,1,1,4,"3","3"
1,1,1,1,3,47,1,1,1,1,1,2,1,1,1,1,1,1,1,1,"5","1"
3,5,1,1,6,25,2,3,3,4,1,3,4,4,4,2,8,1,2,4,"2","3"
1,2,1,1,5,42,2,1,4,4,4,4,4,4,4,3,2,2,4,2,"3","2"
3,4,1,2,3,38,2,1,2,3,1,2,2,3,1,2,1,8,3,1,"5","2"
1,1,1,1,5,6,1,2,1,1,1,1,1,1,1,1,1,2,1,4,"3","1"
3,5,1,1,3,4,2,1,3,4,2,4,4,4,4,2,8,1,2,3,"4","2"
4,5,1,2,5,53,7,1,4,3,1,4,3,3,4,2,2,1,4,4,"2","2"
2,6,1,2,3,6,NA,4,1,4,1,2,4,2,2,8,2,8,2,2,"4","4"
3,4,1,1,5,41,3,2,2,2,1,2,1,3,4,2,1,1,2,1,"2","3"
1,2,1,2,6,19,1,2,1,1,2,1,2,2,2,1,1,2,1,4,"2","3"
3,3,1,2,6,6,1,3,1,1,1,1,1,1,1,1,1,2,1,4,"2","1"
3,3,1,1,5,6,1,2,2,2,1,2,4,3,1,2,1,1,1,2,"4","3"
1,1,1,2,4,26,1,2,1,1,1,2,1,1,1,1,1,2,1,3,"5","1"
1,1,1,2,2,12,1,1,1,1,1,1,1,1,1,1,1,8,1,4,"5","1"
2,7,1,1,5,26,2,1,1,2,1,2,1,4,4,2,2,1,1,1,"5","2"
1,1,1,2,5,31,1,2,1,1,1,1,1,1,1,1,1,2,1,4,"4","1"
3,3,1,1,6,36,1,3,1,1,1,1,1,1,1,1,1,2,1,4,"4","1"
3,4,1,1,6,48,1,2,1,2,1,1,3,2,1,1,1,2,1,4,"4","3"
1,1,1,1,5,18,1,2,1,2,1,1,4,1,2,2,1,2,1,2,"5","1"
3,4,1,2,2,4,2,1,2,3,1,3,3,3,3,2,1,1,5,4,"3","3"
3,4,1,1,4,45,7,4,1,4,4,1,4,2,4,3,2,1,4,1,"4","3"
3,4,1,1,3,6,2,2,1,2,1,1,3,1,1,1,1,1,1,2,"5","3"
3,4,7,1,4,6,2,1,2,4,1,3,4,3,4,2,2,1,3,2,"4","2"
3,4,1,1,6,41,1,2,1,2,1,1,1,1,2,2,1,2,1,1,"4","3"
1,1,1,2,2,34,1,3,1,NA,1,NA,2,1,1,1,1,2,1,4,"3","3"
1,1,1,2,6,21,1,1,1,1,1,1,1,1,1,1,1,2,1,3,"4","1"
3,3,1,2,6,12,1,2,1,1,1,1,1,1,1,3,1,2,1,4,"4","1"
3,5,1,1,2,41,2,1,3,3,2,4,4,2,4,8,8,1,3,2,"5","2"
3,5,1,1,6,37,2,1,3,3,1,3,3,2,3,2,8,1,3,2,"4","2"
1,1,1,2,2,36,1,1,1,1,1,1,1,1,1,1,1,2,1,4,"5","2"
2,7,1,1,3,6,2,1,3,3,1,4,1,3,2,2,2,1,3,1,"4","2"
1,1,1,2,6,48,1,2,1,1,1,1,2,1,1,2,1,8,1,1,"5","1"
3,3,1,1,2,22,1,2,1,2,1,1,4,2,1,1,1,2,1,4,"5","1"
1,1,1,1,3,12,1,2,1,1,1,1,3,1,1,1,1,8,1,3,"3","1"
3,3,1,2,5,6,1,3,1,2,1,1,1,1,1,1,1,8,1,4,"3","1"
3,3,1,1,5,20,4,2,2,2,1,1,2,1,1,1,1,2,1,2,"4","3"
2,7,1,1,6,26,2,1,4,2,1,4,4,4,4,1,1,1,5,1,"4","2"
3,3,1,1,6,8,1,2,1,2,1,1,1,1,2,1,1,2,1,4,"5","1"
2,7,1,1,6,26,2,2,3,3,1,4,2,2,1,2,1,1,2,1,"5","2"
1,2,2,1,6,6,2,2,2,3,1,2,3,1,4,2,2,2,3,4,"3","3"
3,4,1,1,5,6,1,2,2,2,2,2,4,2,2,2,1,1,1,4,"5","3"
2,7,1,1,2,12,2,2,1,4,1,2,1,2,1,3,2,2,3,1,"5","2"
1,1,1,2,4,16,1,2,1,1,1,1,1,1,1,1,1,2,1,4,"3","1"
3,4,1,1,3,8,1,2,2,2,1,2,4,1,1,2,1,8,1,4,"4","3"
1,1,1,2,5,39,1,2,1,1,1,1,1,1,1,1,1,2,1,4,"1","1"
2,7,3,1,2,12,2,3,3,4,1,3,2,1,4,2,2,1,2,3,"5","2"
4,3,3,2,5,8,1,2,1,1,1,1,1,1,1,1,1,2,1,4,"3","1"
1,1,1,2,5,41,1,2,1,2,1,1,2,1,1,1,1,2,1,2,"4","1"
1,1,1,2,5,42,1,2,1,1,1,1,3,1,1,1,1,2,1,4,"4","1"
2,7,1,2,4,4,2,1,3,4,1,3,1,3,3,3,2,1,3,1,"4","2"
1,1,1,2,5,6,1,1,1,1,1,2,2,1,2,2,1,2,1,3,"3","1"
1,1,1,2,6,25,1,2,2,2,1,2,1,1,1,1,1,2,1,4,"2","1"
2,6,1,1,3,42,2,2,2,2,1,1,2,1,2,2,1,1,3,2,"5","3"
3,4,1,1,3,37,2,2,4,4,2,4,2,3,4,3,2,2,4,3,"3","2"
2,6,1,1,5,28,2,1,2,2,3,3,3,3,3,1,1,1,3,1,"4","2"
3,4,1,1,3,1,3,2,2,2,1,3,4,3,3,1,1,1,1,4,"3","3"
1,1,1,1,2,26,1,2,1,1,1,1,1,1,1,1,1,2,1,4,"4","1"
3,4,3,1,5,12,2,1,3,4,1,3,3,4,3,2,2,2,1,2,"3","3"
1,2,1,1,5,53,1,3,1,2,1,1,2,1,1,1,1,2,1,1,"2","1"
2,7,7,1,2,32,2,1,2,4,2,4,1,3,4,3,2,1,1,2,"3","2"
1,1,1,2,3,39,1,1,1,1,1,1,1,1,1,1,1,2,1,1,"5","1"
2,7,1,2,3,53,2,1,2,4,1,3,3,4,4,2,2,1,3,1,"4","2"
5,4,1,1,3,39,2,1,2,3,1,2,3,2,2,2,2,1,2,2,"4","2"
1,1,1,1,6,36,1,1,1,1,1,1,1,1,1,1,1,2,1,2,"5","3"
2,7,1,1,2,13,2,3,4,4,1,4,3,2,4,1,2,1,4,1,"5","2"
1,1,1,1,3,42,1,1,1,1,1,1,4,1,1,1,1,2,1,4,"3","1"
2,7,7,1,5,39,2,1,3,3,1,4,1,1,2,2,1,1,2,2,"5","2"
3,4,1,1,5,5,2,2,4,4,2,4,2,4,4,2,2,1,4,4,"5","2"
2,7,1,1,4,24,2,2,4,4,2,4,1,4,4,2,2,1,4,1,"3","2"
2,6,1,1,2,12,2,1,2,4,1,2,1,1,2,2,2,1,1,1,"5","2"
3,5,1,1,4,53,2,1,2,3,1,3,1,1,1,2,2,1,2,1,"5","2"
3,5,1,2,2,5,NA,1,4,4,1,4,4,2,2,3,2,1,4,1,"2","2"
3,4,1,1,5,49,2,2,3,3,2,3,2,2,3,2,2,8,5,1,"5","3"
3,3,1,1,3,16,1,3,1,2,1,1,2,2,1,1,1,2,1,4,"5","3"
1,1,1,1,3,42,1,3,1,3,1,2,4,2,1,1,8,8,2,2,"5","3"
2,7,1,1,5,6,2,1,4,4,1,4,1,4,4,3,2,1,2,1,"4","2"
1,1,1,2,6,6,1,3,1,1,1,1,1,1,1,1,1,2,1,4,"4","1"
3,3,1,2,3,53,1,3,2,1,1,3,2,2,2,1,1,2,2,4,"4","3"
5,3,1,1,1,6,1,2,1,1,1,1,1,2,2,1,1,8,1,4,"4","3"
1,1,1,1,2,12,1,2,1,2,1,1,2,2,2,2,1,8,1,2,"4","3"
4,3,7,2,5,50,1,2,1,1,1,1,1,1,1,1,1,2,1,3,"4","1"
3,5,1,1,5,32,2,1,1,4,1,3,3,3,2,2,2,1,4,3,"5","2"
2,6,1,2,3,39,2,1,2,3,1,2,2,2,2,1,1,1,2,1,"3","2"
1,1,1,2,5,6,1,2,1,1,1,1,2,1,1,2,1,2,1,4,"2","1"
3,5,1,1,1,4,2,3,3,3,1,2,2,2,2,2,1,1,2,2,"5","2"
3,4,1,1,5,51,2,1,2,1,1,4,1,1,1,2,1,1,3,1,"2","3"
3,4,1,1,5,6,1,1,1,1,1,1,2,1,2,1,1,2,2,3,"5","3"
1,1,2,1,5,48,1,1,1,2,1,1,2,1,2,1,1,2,1,3,"5","1"
1,2,1,2,5,29,1,3,2,2,1,2,2,1,2,2,1,2,1,3,"4","1"
4,5,1,1,5,27,3,3,3,3,3,3,3,2,2,2,1,2,2,4,"4","2"
1,1,1,1,3,6,1,3,1,1,1,1,4,1,1,1,1,2,1,4,"4","1"
1,1,1,2,5,36,1,4,1,1,1,1,1,1,1,1,1,2,1,4,"4","1"
3,4,1,1,5,42,1,2,1,2,1,2,2,3,2,2,1,2,1,2,"4","3"
2,6,1,2,4,55,2,1,2,2,2,2,2,4,2,2,1,2,5,1,"2","3"
3,5,1,1,5,42,2,1,3,4,2,4,3,4,4,2,1,1,1,1,"3","2"
2,7,1,1,5,28,2,1,2,3,1,2,3,2,3,2,2,8,2,3,"4","2"
1,2,1,1,4,26,1,2,1,2,1,2,3,2,3,2,1,2,1,1,"5","3"
3,3,3,1,6,48,1,1,2,3,1,2,3,2,2,1,1,2,1,2,"5","3"
2,7,1,1,3,21,2,1,1,2,1,3,1,1,2,3,2,1,4,1,"5","2"
1,1,1,1,5,39,1,2,1,1,1,1,4,1,1,1,1,2,1,4,"4","1"
1,1,1,1,3,49,1,2,1,3,1,1,4,2,2,1,1,2,1,3,"4","1"
1,1,1,1,6,36,1,1,1,1,1,1,2,2,3,1,1,2,1,4,"4","1"
1,2,1,2,3,2,1,3,1,1,1,2,1,2,1,1,1,2,1,4,"1","1"
1,1,1,2,5,17,1,1,2,2,2,1,2,2,1,2,1,1,1,1,"4","1"
1,2,1,1,6,26,1,2,1,2,1,1,1,1,1,1,1,2,1,4,"5","1"
1,1,1,2,5,53,1,1,1,1,1,1,2,1,2,2,1,2,1,3,"5","1"
1,1,2,1,2,45,1,1,1,1,1,1,3,1,1,1,1,2,1,3,"5","1"
1,2,1,1,6,36,1,3,2,2,1,2,2,2,2,2,1,8,2,1,"5","3"
2,7,1,1,2,21,2,1,2,3,2,1,1,2,1,2,1,1,2,2,"5","2"
1,1,1,1,5,37,1,2,1,2,1,1,1,1,NA,1,1,2,1,3,"5","3"
1,1,1,2,3,53,NA,1,1,1,1,1,1,1,1,1,1,2,1,4,"5","3"
1,1,1,1,6,24,1,2,1,1,1,1,4,2,2,1,1,2,1,1,"4","1"
2,7,1,1,6,12,2,1,2,4,1,3,1,2,4,3,2,1,2,1,"4","2"
1,1,2,1,5,13,1,2,2,NA,1,NA,2,1,NA,1,1,2,1,1,"5","1"
1,1,3,1,4,48,1,3,1,1,1,1,1,1,1,1,1,2,1,1,"4","1"
1,1,1,2,5,37,1,2,1,1,1,1,1,1,1,1,1,2,1,3,"4","1"
4,3,1,2,3,6,1,1,2,1,NA,2,2,1,2,1,1,2,1,4,"5","1"
3,3,1,2,3,6,1,2,1,2,1,1,1,2,1,1,1,2,1,3,"3","1"
4,4,1,1,5,42,4,2,1,1,1,2,2,2,1,1,1,2,1,3,"2","1"
3,4,1,1,6,6,1,2,2,4,1,2,4,3,3,2,2,1,1,1,"4","3"
3,3,1,1,5,34,1,1,1,1,1,1,4,1,1,1,1,2,1,4,"4","1"
1,2,1,1,3,5,1,2,2,3,1,2,1,1,1,3,8,1,2,2,"5","3"
3,3,7,2,3,4,1,2,1,1,1,1,1,1,1,1,1,2,1,1,"5","3"
3,5,1,1,3,17,2,1,2,3,1,3,1,2,4,8,2,1,5,1,"4","2"
3,3,1,2,6,20,1,2,1,2,1,1,4,2,2,1,1,2,1,1,"5","3"
3,3,1,2,6,12,1,2,1,1,1,1,4,1,1,1,1,2,1,2,"5","3"
1,1,1,1,6,36,1,2,1,1,1,1,3,1,1,1,1,2,1,4,"2","1"
1,1,5,2,3,12,1,2,1,1,1,1,1,1,1,1,1,2,1,4,"4","1"
3,3,1,1,5,6,1,2,2,2,1,1,3,2,3,NA,1,2,1,4,"4","3"
1,1,1,1,6,6,1,3,1,1,1,1,2,1,1,2,1,2,1,3,"5","1"
3,3,1,1,3,6,1,1,1,2,1,1,2,1,2,2,1,2,1,4,"5","3"
1,1,1,2,5,27,1,1,NA,1,1,1,4,1,1,1,1,2,1,1,"5","1"
2,7,1,2,5,1,2,1,2,4,1,4,2,2,2,3,8,1,4,1,"5","2"
3,4,1,1,6,30,1,2,1,3,1,1,1,3,3,3,1,1,1,2,"5","3"
1,1,1,2,6,6,1,3,1,1,1,1,3,1,1,1,1,2,1,1,"4","1"
3,5,1,1,4,17,2,1,2,4,1,4,1,3,4,3,2,1,4,1,"4","2"
4,4,6,1,3,27,2,1,3,4,1,3,1,2,3,2,2,1,3,3,"4","2"
3,5,1,2,2,41,2,1,3,3,1,3,1,3,2,3,2,1,2,1,"4","2"
2,7,1,1,6,54,2,1,2,3,2,3,3,2,2,2,2,1,2,2,"5","2"
1,1,1,1,3,54,1,1,1,1,1,1,1,1,1,1,1,2,1,4,"5","1"
1,1,1,2,5,55,1,2,1,1,1,1,1,1,1,2,1,2,1,4,"2","1"
1,1,1,2,6,46,1,3,1,1,1,1,1,1,1,1,1,2,1,4,"3","1"
1,1,1,2,5,51,1,2,1,1,1,1,2,1,1,1,1,2,1,2,"4","1"
1,1,1,2,6,17,1,2,1,1,1,1,1,1,1,1,1,2,1,2,"4","1"
2,7,1,1,5,48,2,2,4,3,2,4,1,4,4,3,2,1,4,1,"4","2"
