"party","party.agendas","levels.of.party","race","education","fam.income","state.of.residence","vote.method","president.voted.for","reason.of.voting","immigration.importance","environment.importance","gay.rights.importance","health.care.importance","climate.change.importance","abortion.importance","racial.equality.importance","gender.equality.importance","legality.abortion","gay.marriage","police.racial.bias","global.warming","tax.raise","employment.status","political.viewpoint","religion.importance"
1,1,1,1,6,97,53,3,1,2,3,1,2,1,1,2,1,1,1,1,2,1,1,9,2,1
3,1,4,2,6,97,51,1,1,2,1,1,2,1,1,2,1,2,8,8,2,1,1,5,3,1
1,1,1,1,5,12,35,2,1,1,3,1,2,2,1,2,3,2,1,1,2,1,1,1,2,4
3,2,4,1,6,97,8,3,1,2,1,1,3,1,1,2,1,2,1,1,2,1,1,1,3,1
2,2,7,1,6,7,33,1,2,2,4,4,4,4,4,1,3,4,3,2,1,3,2,1,4,4
2,2,6,7,6,14,6,3,2,2,1,3,4,1,4,1,4,4,3,2,1,4,2,1,4,1
1,2,1,1,6,12,6,2,1,1,2,1,1,1,1,2,1,1,1,1,2,1,1,5,2,3
1,1,1,1,5,31,39,3,1,1,3,2,1,1,1,2,1,1,8,1,2,2,3,5,2,1
3,2,4,1,2,2,25,2,1,1,1,2,3,1,2,3,1,2,2,2,1,2,3,5,3,2
3,1,4,1,6,11,6,3,1,2,1,1,1,1,1,1,1,2,1,1,2,1,1,5,3,4
3,1,3,1,4,97,4,3,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,4,2,4
3,1,3,2,4,11,12,3,1,1,2,1,2,1,1,4,1,1,1,1,2,1,1,5,2,4
3,1,3,1,5,11,6,3,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,4
1,1,1,3,5,14,6,3,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,4
3,1,4,1,4,6,42,1,1,2,3,1,2,1,1,2,1,1,1,1,2,1,1,7,1,1
3,2,5,1,4,5,34,1,2,1,1,3,4,1,4,3,4,3,2,2,1,4,1,6,3,2
3,1,5,1,3,8,53,3,2,1,1,2,3,2,4,3,2,3,2,2,1,4,3,5,4,2
1,1,1,1,5,31,12,3,1,2,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,4
1,2,1,1,6,31,6,3,1,1,3,1,1,1,1,2,1,1,1,1,2,1,1,5,2,3
3,1,3,1,5,6,18,2,1,2,3,1,1,1,1,2,1,1,1,1,2,1,1,5,3,4
3,2,3,1,6,12,33,2,1,1,3,1,2,2,1,2,3,2,1,1,2,1,1,5,3,4
3,1,4,1,6,9,51,2,2,2,3,3,4,2,4,1,4,4,3,2,1,4,2,5,4,1
1,2,1,1,5,13,36,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,3,4
2,1,6,1,3,5,37,2,2,1,1,4,2,1,4,1,2,2,2,8,1,4,3,5,4,1
1,2,1,1,3,7,19,2,1,1,2,2,2,1,2,2,1,2,2,8,1,1,1,5,3,1
3,1,3,3,6,11,12,1,1,2,2,2,3,2,2,2,2,2,1,1,1,1,1,1,3,4
3,1,3,4,6,12,37,1,1,2,2,1,3,2,1,3,2,3,2,1,2,1,1,1,3,4
2,2,7,1,6,8,36,1,2,1,1,3,4,1,4,1,2,2,3,2,1,3,3,1,4,1
2,2,7,1,2,10,42,1,2,1,1,2,2,1,2,2,2,2,2,8,1,2,3,1,4,2
4,2,3,2,6,8,36,1,1,1,1,1,2,2,1,2,1,1,1,1,2,1,1,1,1,2
1,2,1,1,2,7,36,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1
2,1,7,3,5,97,25,2,6,NA,2,3,4,2,4,1,3,4,3,2,1,3,2,7,5,1
1,1,1,1,5,12,51,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,2,4
3,1,5,1,6,8,18,1,2,2,1,4,4,2,4,1,4,4,2,2,1,4,2,1,4,1
3,1,4,1,3,3,18,1,2,2,1,2,4,1,4,2,1,4,2,2,1,2,1,5,3,1
1,2,1,1,6,9,6,3,1,1,4,1,2,1,1,NA,1,1,2,1,2,1,1,5,3,1
2,1,6,1,5,10,23,1,2,2,2,3,3,1,3,3,3,3,1,8,1,2,3,1,3,4
2,2,6,1,6,11,32,2,2,1,1,2,3,1,2,4,3,4,2,1,1,2,2,5,3,2
3,2,3,1,3,11,4,3,1,1,2,1,1,1,1,2,1,1,1,1,2,1,1,2,2,1
3,2,3,7,6,12,24,2,1,1,3,1,2,1,1,2,1,1,1,1,2,1,1,1,3,2
1,1,1,1,6,5,41,3,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,5,1,3
1,1,2,1,5,8,1,1,4,NA,2,1,1,1,1,3,1,1,2,1,2,1,1,1,1,2
1,1,1,2,6,8,6,3,1,1,2,1,1,1,2,1,1,1,2,1,2,1,1,1,1,3
1,1,1,1,5,15,12,3,1,1,4,1,1,1,1,4,1,1,1,1,2,1,1,1,3,1
3,1,3,1,3,97,54,1,1,2,2,2,NA,2,2,1,2,2,1,1,2,2,1,1,2,4
3,1,3,1,2,4,25,1,2,1,1,2,2,1,2,2,1,2,2,8,1,2,2,5,3,2
3,2,4,1,6,5,27,2,5,NA,2,2,4,2,2,1,2,2,3,2,1,3,2,1,3,1
3,2,5,7,5,6,4,3,2,1,2,3,4,1,4,2,3,2,2,2,1,4,2,5,5,1
1,1,1,1,6,12,10,1,1,1,3,1,2,1,1,4,1,1,2,1,2,1,1,5,3,4
1,1,1,1,1,4,12,NA,NA,NA,3,1,1,1,1,4,1,1,1,1,2,1,1,1,1,1
3,1,3,1,3,97,49,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,6,2,3
2,2,7,1,5,11,24,1,2,1,1,NA,4,1,4,1,NA,NA,3,2,1,5,2,2,5,2
3,2,4,1,6,13,4,3,1,1,2,1,1,1,1,2,1,1,1,1,2,1,1,1,2,3
3,1,3,1,5,6,55,1,1,2,3,1,2,1,1,4,2,2,2,1,2,1,1,1,3,2
1,1,1,1,3,8,28,1,1,1,1,2,2,1,2,1,2,1,1,1,1,2,1,5,2,1
1,2,1,1,3,97,12,3,1,1,3,1,1,1,1,4,1,1,1,1,2,1,1,1,3,1
2,1,7,1,4,97,26,1,2,1,1,2,3,1,3,3,2,1,2,2,2,4,2,1,5,1
3,1,5,1,5,9,34,1,2,2,2,1,3,1,2,3,3,4,2,1,1,2,3,1,3,2
3,2,4,1,2,97,47,1,2,1,1,1,3,1,1,2,2,3,2,1,1,1,3,9,3,3
3,2,5,1,3,11,13,1,3,NA,1,1,2,2,1,3,3,3,2,1,1,1,2,1,3,4
3,2,5,1,3,4,55,1,6,NA,2,2,4,1,3,1,2,4,3,2,1,4,3,2,4,1
3,2,4,3,6,31,9,1,1,1,2,1,1,2,1,4,2,2,1,1,2,1,1,1,2,4
4,2,5,1,3,5,49,3,3,NA,1,1,1,1,3,1,1,1,2,1,2,1,3,1,4,1
3,1,4,7,3,12,6,1,1,2,4,1,2,1,1,4,2,2,1,1,2,1,1,1,3,4
1,2,1,1,3,10,31,1,1,1,NA,NA,1,NA,1,1,1,1,1,1,2,1,1,5,2,1
1,1,1,2,6,31,48,2,1,1,3,1,2,1,1,1,1,2,1,1,2,1,1,1,2,2
2,1,7,1,5,97,12,1,2,1,1,2,4,2,4,3,3,4,2,2,1,4,2,1,4,2
2,2,7,6,3,97,53,3,2,2,2,2,3,1,3,2,2,3,2,2,1,5,2,5,4,1
3,2,3,1,3,6,1,1,1,1,2,2,2,1,2,1,1,1,1,1,2,1,1,5,3,3
1,2,1,1,6,97,42,1,1,1,3,1,1,1,1,3,2,2,2,1,2,1,1,1,3,4
4,2,5,1,5,11,48,2,3,NA,2,3,2,2,4,3,3,3,2,1,1,2,2,1,3,2
1,2,2,1,5,7,18,1,1,2,2,2,2,2,3,4,3,3,1,1,8,2,1,1,3,4
3,1,3,1,4,8,36,1,1,1,2,1,2,2,1,2,2,2,1,1,2,1,1,1,2,1
2,2,6,1,5,97,42,1,2,2,1,3,3,1,4,1,1,3,3,2,1,4,3,5,4,1
1,2,2,1,3,97,28,1,1,1,2,2,3,1,1,4,2,2,2,1,1,1,1,5,3,2
1,2,1,1,6,7,41,3,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,6,2,2
3,2,3,1,6,9,36,1,1,2,1,1,2,1,2,2,1,2,1,1,2,1,1,4,3,4
2,1,7,1,4,12,37,1,2,2,1,2,2,2,2,1,1,3,3,2,1,2,2,1,5,2
2,1,7,1,3,9,24,1,2,1,1,2,3,2,4,2,3,4,2,1,1,2,2,1,4,1
1,2,1,1,6,97,42,NA,NA,NA,NA,1,1,NA,1,NA,1,1,2,1,2,1,1,2,2,4
2,2,6,1,5,97,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,8,2,3,1,4,1
3,1,3,1,4,97,9,1,1,2,3,2,3,2,2,3,2,2,2,1,2,1,1,2,3,2
2,1,7,1,6,14,34,3,2,1,1,3,4,3,4,3,4,4,2,2,1,4,2,1,4,2
3,1,5,6,3,11,27,1,2,1,1,3,4,1,4,1,4,4,2,8,1,4,2,1,5,1
2,2,6,1,6,9,39,1,2,2,1,2,2,2,3,3,3,4,3,1,1,3,2,1,5,1
1,2,1,1,3,10,17,3,1,1,2,1,1,1,1,2,1,1,1,1,2,1,1,7,1,4
2,2,6,1,5,14,29,1,2,1,2,3,2,2,3,2,2,3,2,1,1,3,2,1,4,1
1,1,1,1,6,16,36,1,1,1,2,2,1,1,1,3,1,2,1,1,2,1,1,1,2,4
2,2,6,1,6,11,25,1,2,2,1,2,4,2,4,4,4,4,2,8,1,1,2,1,4,3
3,2,3,1,5,6,47,2,1,2,2,1,2,1,1,2,2,2,1,1,2,1,1,1,3,4
1,2,1,1,5,13,17,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,2,4
3,1,3,1,5,10,55,2,1,1,3,1,1,1,2,2,3,2,1,1,2,1,1,1,3,4
3,1,5,1,6,14,48,2,2,2,2,1,3,2,4,1,1,3,2,2,1,2,2,5,4,2
1,1,1,1,5,11,48,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,4
2,1,6,1,6,15,36,1,2,1,1,3,3,1,4,3,2,4,2,1,1,4,2,1,3,1
1,2,2,1,2,6,12,2,1,1,2,2,4,2,2,2,2,2,2,2,1,1,1,4,3,1
2,1,7,1,2,9,55,3,2,1,2,4,4,2,4,3,4,4,2,2,1,4,2,1,4,3
3,2,4,1,4,5,41,3,3,NA,2,2,3,2,2,2,2,2,1,1,1,2,2,1,3,4
3,2,4,1,5,97,42,1,1,1,1,1,1,1,1,1,1,1,3,2,2,1,1,4,3,1
3,1,5,1,6,10,53,3,2,1,2,3,3,1,4,1,1,4,2,2,1,3,1,2,4,1
3,2,3,1,3,2,4,3,1,2,2,1,1,1,1,1,2,2,2,1,2,1,1,5,3,1
3,1,3,1,6,8,20,2,1,1,2,1,1,1,1,1,1,1,1,1,8,1,1,2,2,3
2,2,7,1,5,7,26,3,2,2,2,3,2,4,NA,2,2,3,2,1,1,1,3,1,4,1
1,2,1,1,2,97,39,1,1,1,2,1,2,1,1,2,2,1,2,1,2,1,1,5,3,3
1,1,2,1,4,97,12,3,2,1,1,1,2,1,2,1,2,2,3,8,1,3,3,5,4,1
3,2,4,3,3,4,17,2,1,1,3,1,2,1,2,3,1,3,2,8,2,1,1,5,3,2
4,1,5,1,3,3,40,1,3,NA,2,3,4,2,4,2,4,4,3,2,1,3,2,1,5,1
3,2,4,1,3,4,12,2,2,2,1,2,1,3,4,2,1,1,2,1,1,3,3,1,3,3
3,2,3,1,6,11,18,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,3,4
3,2,5,1,6,12,20,1,2,1,2,3,3,2,4,3,3,3,8,8,1,5,2,1,4,1
2,2,7,1,5,97,13,2,2,1,1,4,4,1,4,2,3,4,2,2,1,3,2,9,5,4
3,2,4,1,2,9,12,3,3,NA,2,2,2,1,3,4,2,2,2,1,1,3,3,1,3,3
2,2,7,1,3,2,55,1,2,2,2,4,2,1,4,1,4,4,2,1,1,4,2,2,3,1
4,2,4,1,4,10,17,2,2,1,1,3,4,2,2,2,3,4,2,NA,1,3,2,1,4,2
3,2,3,1,6,11,8,3,1,1,3,1,2,1,1,2,1,1,1,1,2,1,1,1,2,3
3,1,5,1,4,97,12,1,2,2,2,2,4,2,3,3,3,3,8,2,2,2,2,6,4,2
1,1,1,3,4,5,39,2,1,1,2,1,NA,NA,1,NA,2,1,1,1,2,1,1,1,2,4
1,2,2,1,5,12,35,2,1,2,3,1,1,2,1,3,2,1,1,1,2,1,3,1,2,4
3,1,4,1,6,13,13,2,1,2,3,1,3,1,2,4,2,2,1,8,2,1,1,1,3,3
2,2,7,1,5,97,21,1,2,1,1,2,2,1,4,1,2,3,3,2,1,4,2,1,4,1
1,2,1,1,5,10,37,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,4
3,1,3,1,2,4,49,3,1,2,2,1,2,1,1,2,1,2,1,1,2,1,1,5,3,4
2,1,6,1,5,8,27,2,2,1,1,3,NA,3,NA,1,2,3,3,2,1,3,2,1,4,1
3,2,4,1,5,10,39,1,6,NA,2,4,4,1,4,1,2,4,3,2,8,2,2,1,4,1
2,1,7,1,3,6,16,1,2,1,1,3,4,2,4,2,3,3,2,2,1,4,2,2,4,1
1,2,1,1,5,10,34,1,1,1,3,1,1,1,1,2,1,1,1,1,2,1,1,1,1,3
1,1,1,1,4,10,36,1,1,1,2,3,1,2,3,2,2,2,1,1,2,2,1,1,2,1
1,1,2,1,6,13,39,1,1,1,2,1,1,2,2,3,2,1,1,1,2,1,1,1,2,3
2,1,6,1,4,8,37,1,2,2,2,3,4,3,4,3,3,4,2,2,1,1,1,1,4,4
1,2,2,1,5,97,48,1,3,NA,3,1,1,2,1,4,2,2,2,1,2,1,1,1,3,4
2,1,6,1,3,12,48,2,2,1,2,3,3,1,4,4,1,2,2,2,1,4,2,5,4,1
4,1,4,1,6,97,42,NA,NA,NA,3,2,1,1,2,4,2,2,1,1,2,1,1,5,1,4
